freq_hz,s0_db,s1_db,s2_db,s3_db,s4_db,s5_db,composite_db
# M0_Q0
42.97,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.01
43.55,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.01
44.14,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.01
44.74,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.01
45.34,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.01
45.95,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.01
46.57,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.01
47.20,32.46,12.62,-2.29,-5.23,-8.33,-29.28,12.01
47.84,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.01
48.49,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.01
49.14,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.01
49.81,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.01
50.48,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.01
51.16,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.01
51.85,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.01
52.55,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.01
53.26,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.01
53.98,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.01
54.71,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.00
55.45,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.00
56.20,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.00
56.96,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.00
57.73,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.00
58.51,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.00
59.30,32.46,12.63,-2.29,-5.23,-8.33,-29.28,12.00
60.10,32.45,12.63,-2.29,-5.23,-8.33,-29.28,12.00
60.91,32.45,12.63,-2.29,-5.23,-8.33,-29.28,12.00
61.73,32.45,12.63,-2.29,-5.23,-8.33,-29.28,12.00
62.57,32.45,12.63,-2.29,-5.23,-8.33,-29.28,12.00
63.41,32.45,12.63,-2.29,-5.23,-8.33,-29.28,12.00
64.27,32.45,12.63,-2.29,-5.23,-8.33,-29.28,12.00
65.14,32.45,12.63,-2.29,-5.23,-8.33,-29.28,12.00
66.02,32.45,12.63,-2.29,-5.23,-8.33,-29.28,11.99
66.91,32.45,12.63,-2.29,-5.23,-8.33,-29.28,11.99
67.81,32.45,12.63,-2.29,-5.23,-8.33,-29.28,11.99
68.73,32.45,12.63,-2.29,-5.23,-8.33,-29.28,11.99
69.66,32.45,12.63,-2.29,-5.23,-8.33,-29.28,11.99
70.60,32.45,12.63,-2.29,-5.23,-8.33,-29.28,11.99
71.55,32.44,12.63,-2.29,-5.23,-8.33,-29.28,11.99
72.52,32.44,12.63,-2.29,-5.23,-8.33,-29.28,11.99
73.50,32.44,12.63,-2.29,-5.23,-8.33,-29.28,11.99
74.49,32.44,12.63,-2.29,-5.23,-8.33,-29.28,11.99
75.50,32.44,12.63,-2.29,-5.23,-8.33,-29.28,11.98
76.52,32.44,12.63,-2.29,-5.23,-8.33,-29.28,11.98
77.55,32.44,12.63,-2.29,-5.23,-8.33,-29.28,11.98
78.60,32.44,12.63,-2.29,-5.23,-8.33,-29.28,11.98
79.66,32.44,12.63,-2.29,-5.23,-8.33,-29.28,11.98
80.74,32.43,12.63,-2.29,-5.23,-8.33,-29.28,11.98
81.83,32.43,12.63,-2.29,-5.23,-8.33,-29.28,11.98
82.93,32.43,12.63,-2.29,-5.23,-8.33,-29.28,11.98
84.05,32.43,12.63,-2.29,-5.23,-8.33,-29.28,11.97
85.19,32.43,12.63,-2.29,-5.23,-8.33,-29.29,11.97
86.34,32.43,12.63,-2.29,-5.23,-8.33,-29.29,11.97
87.50,32.43,12.63,-2.29,-5.23,-8.33,-29.29,11.97
88.69,32.42,12.63,-2.29,-5.23,-8.33,-29.29,11.97
89.88,32.42,12.63,-2.29,-5.23,-8.33,-29.29,11.97
91.10,32.42,12.63,-2.29,-5.23,-8.33,-29.29,11.97
92.33,32.42,12.63,-2.29,-5.23,-8.33,-29.29,11.96
93.58,32.42,12.63,-2.29,-5.23,-8.33,-29.29,11.96
94.84,32.42,12.63,-2.29,-5.23,-8.33,-29.29,11.96
96.12,32.41,12.63,-2.29,-5.23,-8.33,-29.29,11.96
97.42,32.41,12.63,-2.29,-5.23,-8.33,-29.29,11.96
