kind,rail_hz,band,total_hits,endpoint_hits,grid_hits,skin_count,variant_count,top_stages,top_states,nearest_table,nearest_table_label,nearest_table_target_hz,nearest_table_cents
zero,1840.0,bite,26,10,26,20,23,S4:8;S5:5;S6:5;S3:4,GRID:14;PUSH_HOME:4;AWAY:3;PUSH_AWAY:3;CENTER:2,vowel,eh:f2,1840.0,0.0
pole,870.0,mouth,34,10,34,19,28,S3:14;S5:10;S2:5;S6:5,GRID:23;PUSH_HOME:5;PUSH_AWAY:2;AWAY:2;CENTER:1,vowel,uw:f2,870.0,0.0
zero,605.0,low-mid,35,10,35,19,27,S2:12;S1:9;S3:6;S5:5,GRID:25;PUSH_AWAY:7;PUSH_HOME:2;AWAY:1,mullen,o:f1,615.0,28.38
zero,1930.0,bite,35,10,35,19,24,S3:17;S2:4;S1:4;S4:4,GRID:23;PUSH_AWAY:3;PUSH_HOME:3;HOME:3;CENTER:2,tube,oo_18cm:p2,1906.0,21.66
zero,3080.0,bite,39,10,39,19,21,S3:17;S2:8;S1:5;S6:5,GRID:28;HOME:6;PUSH_HOME:4;CENTER:1,tube,co_25cm:p5,3087.0,3.93
pole,2900.0,bite,28,10,28,17,24,S3:10;S1:6;S5:6;S4:3,GRID:18;HOME:5;PUSH_AWAY:2;PUSH_HOME:2;AWAY:1,tube,oo_18cm:p3,2858.0,25.26
pole,2340.0,bite,23,10,23,16,21,S1:9;S4:6;S2:3;S3:3,GRID:13;AWAY:4;PUSH_HOME:4;PUSH_AWAY:1;HOME:1,klatt,o:f3,2300.0,29.85
zero,3500.0,tear,22,10,22,16,17,S1:6;S5:5;S4:5;S6:3,GRID:11;HOME:9;PUSH_HOME:1;CENTER:1,mullen,e:f4,3511.0,5.43
zero,595.0,low-mid,36,10,36,15,19,S2:13;S3:9;S1:8;S4:3,GRID:25;PUSH_AWAY:5;AWAY:4;CENTER:1;PUSH_HOME:1,mullen,o:f1,615.0,57.24
zero,1650.0,bite,28,10,28,15,20,S2:7;S5:7;S6:5;S3:4,GRID:18;HOME:7;PUSH_AWAY:2;AWAY:1,vowel,er:f3,1690.0,41.47
